variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,-0.06634468157865009,0.9358082528297997,0.21990546640880015,-0.301696372819203,0.7628835335928745,0.6081392000660544,1.4400273588172612,S1_delta_0.3
f.sexOther,0.42138294403106047,1.524067799340383,0.6045066165628682,0.6970692007094632,0.4857594878112745,0.46606589333409104,4.983807419096407,S1_delta_0.3
f.age18-44,0.23347498663742972,1.262981236088228,0.5030753723142015,0.46409544073568804,0.6425793681199892,0.4711707968889487,3.3854424196984065,S1_delta_0.3
f.age45-54,0.14391406246260058,1.154784864893083,0.3924823541282559,0.3666765166608539,0.7138603252742692,0.5350809601261943,2.4921987204920066,S1_delta_0.3
f.age65-74,-0.13126078425119694,0.8769890396371194,0.26244945507724154,-0.5001373853588896,0.6169783435322319,0.5243204352208469,1.4668697307586027,S1_delta_0.3
f.age75+,-0.23739781035100435,0.7886774815382553,0.27341162962516524,-0.8682798558220286,0.38524114712477386,0.46149929282955343,1.3478074171508083,S1_delta_0.3
f.raceBlack,-0.4118013361216474,0.662455869032483,0.4133347279680028,-0.9962901935341999,0.3191091671337634,0.2946631273033848,1.4893203042800298,S1_delta_0.3
f.raceAsian,0.3788820697897677,1.4606507707335386,1.2608170494836306,0.3005051922044831,0.7637918365357419,0.12340619844125111,17.288440135040354,S1_delta_0.3
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S1_delta_0.3
f.raceAIAN,-0.19164911338793847,0.825596508435096,0.8188489699704578,-0.23404696154756444,0.8149485209049029,0.16586789788582249,4.1093521014501375,S1_delta_0.3
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,S1_delta_0.3
f.raceOther,0.8652029592744241,2.3754881644085644,0.5265060995642035,1.6432914262352607,0.10032265137495405,0.8464280877134399,6.666773115350115,S1_delta_0.3
f.ethnicityHispanic,-0.6603511470253269,0.5166698755443055,0.560642984457364,-1.1778460898150158,0.23885797042409468,0.17218406917897355,1.550362711067621,S1_delta_0.3
f.ethnicityUnknown,-0.4889524115251847,0.6132685108125971,0.7361140091522539,-0.6642346232321906,0.5065401567451375,0.14490030018623734,2.5955658191936752,S1_delta_0.3
f.cancerMelanoma,-0.7242461713010185,0.48468980436023223,0.357699233666943,-2.024735037524209,0.04289457880227038,0.24043060240000588,0.9770977741839841,S1_delta_0.3
f.cancerOther,-0.44040174625481016,0.6437777338298069,0.253049238695228,-1.740379653088896,0.08179237587459785,0.39204872814970576,1.0571384137146898,S1_delta_0.3
f.iciother_combo,0.11715812467772482,1.124297194767233,0.22010846388445177,0.5322745096218935,0.5945358841586897,0.7303389502219189,1.7307637526074444,S1_delta_0.3
nci_cci_score,0.11549711338676887,1.122431274518635,0.04249329920600402,2.7180076752065863,0.006567631462753416,1.0327361922908793,1.2199165434716155,S1_delta_0.3
ppi,0.4394490127525529,1.5518519322824575,0.23977486857458297,1.8327567662324062,0.06683875121438285,0.9699593708811696,2.482830200960895,S1_delta_0.3
nsaid,-0.02776549728024231,0.9726164212565724,0.27481722959706584,-0.10103259290165974,0.9195245871495045,0.5675664921978819,1.666734586875727,S1_delta_0.3
acei_arb,0.19230432619689244,1.2120393161599972,0.23148772184950334,0.8307322939655299,0.4061248785658664,0.7699703499060238,1.9079167192566469,S1_delta_0.3
diuretic,0.4023783968010579,1.4953770715326489,0.22293483144851103,1.8049148900897127,0.07108800136413332,0.9660247309135641,2.3147984875613314,S1_delta_0.3
f.sexFemale,0.5631124472304581,1.7561298645446015,0.5038062485053066,1.117716282600903,0.2636881863165352,0.6542081833419474,4.714083650545644,S2_KDIGO2
f.sexOther,-18.92491368460523,6.0396867761044305e-9,10768.752851064195,-0.0017573914032891025,0.9985978052537902,0,Inf,S2_KDIGO2
f.age18-44,0.37643527181045267,1.4570812221422165,1.034907863792139,0.36373795675984893,0.7160536966573513,0.19167637642268687,11.076407680191133,S2_KDIGO2
f.age45-54,0.44199893529245465,1.5558140839462313,0.8379608185097929,0.5274696925310824,0.5978674576390705,0.3010815594097702,8.039540742882519,S2_KDIGO2
f.age65-74,0.3198396936559263,1.3769070197125886,0.5407131563480226,0.5915145394577117,0.5541757161890107,0.4771432022668668,3.9733835291515653,S2_KDIGO2
f.age75+,0.034550068779114894,1.0351538559683957,0.5729507033033308,0.06030199209097304,0.9519151153762003,0.3367506024730122,3.1820091713484424,S2_KDIGO2
f.raceBlack,-0.4775365112613396,0.6203096368954504,0.9257906567051456,-0.5158147879358324,0.6059837731868505,0.10105878966127507,3.8075267566044455,S2_KDIGO2
f.raceAsian,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
