variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.3412357057030719,1.4066847654111525,0.23532552395036108,1.4500582001255895,0.14704229015114686,0.8869258949463973,2.2310342279040336,base
f.sexOther,-0.9526821870460116,0.38570510158039206,0.8088733945476778,-1.177789000686259,0.2388807347639798,0.07902074165254738,1.8826503304571895,base
f.age18-44,0.8005531674267539,2.226772365805121,0.5272455651823771,1.5183687076625068,0.12892147569442877,0.7922889234633707,6.258468372166481,base
f.age45-54,0.5664464710539873,1.7619946145257093,0.3998576039328123,1.4166204805978049,0.15659391732202207,0.80472068928904394,3.8580156605150573,base
f.age65-74,0.20234903830477055,1.2242752525033977,0.2916295302858658,0.6938564764220575,0.4877722206306406,0.691263402265846,2.168276071001703,base
f.age75+,0.057029262720045604,1.0586867899973758,0.3115455721425374,0.18305271465695472,0.8547566570195806,0.5748829418953786,1.9496451149161467,base
f.raceBlack,-0.2117454487839834,0.8091706467251722,0.44753301877792767,-0.4731392766553713,0.6361138168069407,0.33658853887903334,1.9452746005619246,base
f.raceAsian,0.9821920770946326,2.670303341732401,1.2767356131410252,0.7692995064798447,0.4417155301424739,0.21867607746571968,32.60768173411666,base
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,base
f.raceAIAN,0.35209546479867865,1.4220442724090412,0.7565652516561018,0.46538677797843714,0.6416545010433667,0.32279262803736264,6.264733878796306,base
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,base
f.raceOther,0.73098707794638,2.0771298852108617,0.5394504009694414,1.3550589203988537,0.17539878545712825,0.7215769314187797,5.979221857263216,base
f.ethnicityHispanic,-0.4481578536799642,0.6388038385360212,0.5723712060963728,-0.7829846241505478,0.433636141287842,0.2080483439570063,1.9614207754169084,base
f.ethnicityUnknown,-0.4240442288632323,0.6543949381245697,0.770544365854838,-0.5503177333504993,0.5821014632210187,0.1445277953695517,2.9629783942118935,base
f.cancerMelanoma,-0.5543198970612425,0.574462822224132,0.38227756677924496,-1.450045582667809,0.1470458084049801,0.27156054570105337,1.2152263623781436,base
f.cancerOther,-0.5834613353491006,0.5579637207178924,0.26639585385250086,-2.1902042652366274,0.028509426055953278,0.3310163150856598,0.9405080639508371,base
f.iciother_combo,0.06581828932519765,1.0680326266030729,0.24075299144788556,0.27338513606567155,0.7845571774505556,0.6662775836002378,1.7120397257324922,base
nci_cci_score,0.11235448219688764,1.1189094238242747,0.04219337107452005,2.6628467774819926,0.007748268665862792,1.030101142996487,1.2153741477083673,base
ppi,0.44497871129537453,1.5604569753714281,0.26080657148090886,1.706163724206417,0.08797760070144593,0.9359504183662065,2.601661289105382,base
nsaid,0.30671360564121547,1.3589517162294866,0.31755187449015815,0.9658692965792001,0.3341095877266314,0.7292952430900956,2.5322388765600703,base
acei_arb,0.5490619890094024,1.731627969762792,0.2540034260089094,2.1616322174730964,0.030646536088143352,1.0525590842802608,2.8488048513829565,base
diuretic,0.1736319031081556,1.1896175906790514,0.23971270899976416,0.7243333231377667,0.4688611237131523,0.7436413824668691,1.9030544095844224,base
