variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.18857434879121268,1.207526857811484,0.22215869883762907,0.8488272112587297,0.39597744629046694,0.7812588892292474,1.866373787790867,disability
f.sexOther,0.09144024903233333,1.09575130253584,0.8787876209349654,0.10405272770575401,0.9171275049675128,0.19574316962872937,6.133909649498017,disability
f.age45-54,-0.24556035080711208,0.7822660719810686,0.4976385713770373,-0.49345120119529995,0.6216938121116873,0.2949604415649417,2.074651787629491,disability
f.age55-64,-0.3819087548961348,0.6825573303786077,0.4786099062919864,-0.7979541373369381,0.4248971051472336,0.2671441352418404,1.74394436483442,disability
f.age65+,-0.42421956063334054,0.6542802119595832,0.44379702747778677,-0.9558864398986401,0.33912961054842206,0.27415935585636686,1.5614371226716453,disability
f.raceBlack,0.31571195090053716,1.3712352156642977,0.42408158298506304,0.744460414145495,0.4565979813198499,0.5972182358163547,3.1484069037304203,disability
f.raceAsian,2.316536276356904,10.140489552703077,1.3522360181198383,1.7131153477022731,0.08669132102946733,0.7161987134638617,143.57681246193536,disability
f.raceOther,0.7623115396284563,2.1432246477565617,0.43233601942474464,1.7632385583851393,0.07786026308568023,0.9184649935675391,5.001183412455733,disability
f.ethnicityHispanic,-0.7792434054190445,0.4587529700462552,0.4833489459978204,-1.6121756587477039,0.10692372051677163,0.17788999389922536,1.1830586021914342,disability
f.ethnicityOther,0.05210356558535736,1.0534848416380993,0.6849426180331741,0.07606997172255647,0.9393634299930131,0.27517189682401577,4.033225501480027,disability
f.cancerMelanoma,-0.2564001043671974,0.7738322931651204,0.40257313747221224,-0.6369031624344174,0.5241879227287337,0.35154099178058656,1.7034042457243181,disability
f.cancerOther,0.18422965216866213,1.202291900336497,0.268695905018427,0.6856436913544618,0.49293782278575843,0.7100608243902155,2.035749282262,disability
f.iciother_combo,0.09817922651994886,1.1031604830059396,0.2390276091103965,0.410744293871944,0.6812600442059654,0.6905228058554451,1.7623792305574608,disability
nci_cci_score,0.0998834417774101,1.1050421088248132,0.04088746872036674,2.4428864124732783,0.014570322311418561,1.0199417070034953,1.1972429932917779,disability
ppi_flag,-0.7021628016892583,0.4955124488619443,0.4429835867525834,-1.585076338463602,0.11294899085908189,0.20796308781298845,1.1806546515502645,disability
nsaid_flag,0.2285750076529435,1.2568077917991567,0.3643936177751112,0.6272750029173415,0.5304789860859969,0.6153135157378934,2.5670910602911636,disability
acei_arb_flag,0.4946452903825838,1.6399164417449472,0.4096481256223161,1.207488230615347,0.22724417491853902,0.734731404823468,3.6602844498685423,disability
diuretic_flag,-0.5186541651591035,0.5953212130979422,0.42303344509399243,-1.22603583989409,0.22018518824625685,0.25981524887497287,1.3640744656021007,disability
disability,0.11424954870049592,1.1210318420205683,0.2810840268415233,0.4064604808188209,0.6844042884840957,0.6461878548196154,1.9448096733028848,disability
