variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,-0.014338888319548306,0.9857634239411108,0.2485888740758696,-0.057681134655978454,0.9540026210367324,0.6055827093938104,1.6046190105936238,education
f.sexOther,0.5156028603317033,1.6746477762550742,0.7173014281837391,0.7188091924440306,0.47225849299796374,0.4105399210636488,6.831114419397164,education
f.age18-44,0.4100189597848068,1.5068463543246347,0.5420454841661386,0.7564290668624678,0.4493919861356771,0.5208096457867396,4.35972327684422,education
f.age45-54,-0.9302751629854857,0.3944451587301026,0.5251347765084581,-1.7714979174884302,0.07647793868128369,0.14092599113506232,1.1040332730142202,education
f.age65-74,-0.6502645329216339,0.521907696730625,0.34467940401927,-1.8865778614531883,0.05921712676800509,0.2655840937899811,1.025617310207083,education
f.age75+,-0.21689022424555937,0.8050183359498226,0.34311466679491487,-0.6321216935188554,0.5273073607726021,0.41090936425543284,1.5771227856773118,education
f.raceBlack,0.3499494493893294,1.4189958156751799,0.5157466454532655,0.6785297635465477,0.4974358589493571,0.5163887524983827,3.8992892760768934,education
f.raceAsian,-17.10331678718544,3.7335665512510275e-8,4011.4628565917824,-0.004263610906699696,0.9965981409909899,0,Inf,education
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,education
f.raceAIAN,0.5599615780607892,1.7506052373559111,0.9684107649052869,0.5782273373588065,0.5631106444891253,0.26234662763178346,11.681563146903839,education
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,education
f.raceOther,0.1430727006981621,1.1538136816771127,0.6326436263309403,0.22615054470385162,0.8210843337425118,0.33390925252164555,3.98696951932769,education
f.ethnicityHispanic,0.49975296685041326,1.6483140321946128,0.6695498957934439,0.7464013809727886,0.4554249852963894,0.44372924338484815,6.122966176410534,education
f.ethnicityUnknown,0.5006869465825378,1.6498542432438477,0.8361558415424772,0.5987962072463767,0.5493087918294876,0.32041175104069936,8.495378259719237,education
f.cancerMelanoma,-0.40274317360926876,0.6684837615506631,0.4564037659693896,-0.8824273672541962,0.37754574161774856,0.27327460306412,1.635243577143069,education
f.cancerOther,-0.47491868186689445,0.6219356290530244,0.29129006155619575,-1.6303978217783206,0.10301744473889424,0.35139767783617,1.100758346120655,education
f.icianti_pdl1,0.2428989352147643,1.2749397660934163,0.35421103147926514,0.6857463874017802,0.49287304948894906,0.6367730735071415,2.5526698203706397,education
f.icictla4_containing,-0.04929953832406541,0.9518959576708161,0.3694442272490338,-0.133442437823866,0.8938434849656259,0.4614429192158161,1.9636359699047758,education
nci_cci_score,0.08794290364295798,1.0919257752644,0.05310824784718175,1.6559180015882367,0.09773842555756898,0.9839823201490049,1.21171069263339,education
ppi,-0.46249634567618686,0.6297097086705892,0.3099139058938401,-1.4923381522435244,0.13561051975193764,0.3430371805670291,1.1559514235119943,education
nsaid,0.18702194530282956,1.2056537431961096,0.29297199761582354,0.6383611636087927,0.523238605589647,0.6789603020135447,2.1409218538579484,education
acei_arb,0.17277586347493357,1.1885996666268799,0.3290065298801775,0.5251441773446188,0.5994829674667406,0.6237129167620054,2.265095253822698,education
diuretic,0.2495439331277034,1.2834399487484174,0.32943494243343585,0.7574907849313074,0.44875588462585186,0.6729147094163063,2.447885413995713,education
f.educationCollege,0.20675080070828825,1.2296760991830102,0.39669133000583395,0.521188100343024,0.602235742889561,0.565101499361419,2.6758083470149434,education
f.educationSome_College,-0.4952623266925573,0.6094110215483857,0.38885971141521036,-1.273627254646944,0.2027955484539268,0.28438868820018864,1.3058950956699857,education
f.educationHS_GED,-0.046637257548193714,0.9544335483702062,0.42642131553391405,-0.10936896409552156,0.9129098491158799,0.4137854491591887,2.2014872685967526,education
f.educationlt_HS,1.0073980329705161,2.7384663378224228,0.5143005783037222,1.9587728955956827,0.05013938915815004,0.9993876098545323,7.503793132354435,education
f.educationUnknown,-0.9425866857418477,0.3896187096146839,1.1555003288539123,-0.8157390025814671,0.4146494267457374,0.04046468282098468,3.751487180892658,education
