variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.06887299389777556,1.071300138852702,0.2512701514606566,0.27409938465595884,0.7840082467074554,0.6546808242357112,1.7530435366663597,employment
f.sexOther,0.14060848967133888,1.1509739415762472,0.7405619582456362,0.18986728673511014,0.8494131275405455,0.26958641873886413,4.913975341876467,employment
f.age18-44,0.1845481217611909,1.202674854724525,0.5496680030831663,0.3357447053967743,0.7370633906440681,0.4095151550372403,3.5320470766341296,employment
f.age45-54,-0.9212377327139162,0.39802608616639285,0.517939958858463,-1.7786573848140996,0.07529594982669176,0.1442248991302995,1.0984564123411757,employment
f.age65-74,-0.41739792668861664,0.6587587301013459,0.3493162402709,-1.1948998602667835,0.23212615749776283,0.3321909991524494,1.3063661134466293,employment
f.age75+,0.11297202280043592,1.1196006092207367,0.3887968176712442,0.29056828056643697,0.7713815222536959,0.522538958009483,2.3988747727871735,employment
f.raceBlack,0.4161455475625945,1.516106518421067,0.509561180745513,0.816674352928049,0.4141145517182576,0.5584579162953858,4.115939461377532,employment
f.raceAsian,-17.244229172267666,3.242846753578827e-8,4309.00353220244,-0.00400190648334273,0.9968069491260872,0,Inf,employment
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,employment
f.raceAIAN,0.36046034262528887,1.4339893890814897,1.0037899442056297,0.35909937602587433,0.7195207483790749,0.20050185186149877,10.255893144661616,employment
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,employment
f.raceOther,0.48708179330492307,1.6275597274234945,0.6189914033670488,0.7868958933119364,0.4313428117395641,0.48378288189705165,5.475494825165253,employment
f.ethnicityHispanic,0.30493681062853367,1.3565392814333432,0.6501043952431689,0.46905822027933425,0.63902802153671,0.3793695851923723,4.85067568381518,employment
f.ethnicityUnknown,-0.14449846188017956,0.8654562435774851,0.8653557629538966,-0.16698156765829267,0.8673845521711027,0.15872778451196123,4.718861992878176,employment
f.cancerMelanoma,-0.44474050282400346,0.6409905897002895,0.4494662348735681,-0.9894859019812824,0.32242546415749396,0.2656227697847915,1.5468136877618297,employment
f.cancerOther,-0.5411491633050044,0.5820789641007219,0.29462739586138476,-1.8367238447832677,0.0662506733120563,0.3267342113070554,1.0369771781570805,employment
f.icianti_pdl1,0.15321751831169614,1.1655784860349527,0.3556392647473228,0.43082284072473054,0.6665971904120245,0.5805248724981591,2.3402497833748557,employment
f.icictla4_containing,-0.02874186109141569,0.9716672572208144,0.36650252100534203,-0.07842200106175193,0.9374923731065703,0.47375090963900085,1.9928980389176554,employment
nci_cci_score,0.08083781353609196,1.0841950405465999,0.053791946910742024,1.5027865355055403,0.13289409912498806,0.9757074658907796,1.2047451998050265,employment
ppi,-0.34417648235265236,0.7088038256439334,0.30820833640751166,-1.1167007562624256,0.26412229439734464,0.3874169710341711,1.2968013814840402,employment
nsaid,0.10850872897671723,1.1146146379411006,0.2941786164806237,0.36885321671184157,0.7122371358893332,0.6262092088037932,1.9839468561725269,employment
acei_arb,0.2934665920826909,1.3410683763603681,0.32898976159726984,0.8920234801772817,0.37238034717974616,0.7037433901280357,2.555568429206319,employment
diuretic,0.43447225463502753,1.544147926967905,0.3292535662798923,1.3195673460547754,0.18697951117819886,0.8098932119911098,2.9440829791588037,employment
f.employmentSelf_Employed,-0.32898846480627925,0.7196513180165617,0.6807667586119692,-0.483261646730609,0.6289099686665783,0.18951884877824227,2.7326992690261194,employment
f.employmentRetired,-0.5720710189456782,0.5643554367680005,0.41328702475635065,-1.3841978689820644,0.1662978757070737,0.2510511181178292,1.2686542143186799,employment
f.employmentUnable_to_Work,-0.1287152471879421,0.8792242914928152,0.43198885647061,-0.2979596470139482,0.7657339624950472,0.3770423183407563,2.0502615148159666,employment
f.employmentUnemployed,0.015006158227315304,1.01511931593197,0.5579691393907812,0.026894244086151042,0.9785440844123001,0.3400735846105297,3.0301301606778326,employment
f.employmentStudent,NA,NA,0,NA,NA,NA,NA,employment
f.employmentHomemaker,0.28975605230443896,1.33610150938197,1.0104419768449093,0.2867616933425491,0.7742947958687503,0.18439523093933483,9.681200724546342,employment
f.employmentOther,NA,NA,0,NA,NA,NA,NA,employment
f.employmentUnknown,1.7985291453440042,6.040755853009816,0.8362097962481612,2.150810901060356,0.03149112832947198,1.1730275558610144,31.108162031954805,employment
