variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.32613872113709047,1.3856075685988714,0.23720648545463807,1.374914857458479,0.16915784252431515,0.8704217216488955,2.205721992462999,housing
f.sexOther,-0.8045511929737893,0.44728862779682416,0.8158433411616066,-0.9861589258401748,0.3240551314862419,0.0903942374464356,2.2132729055313787,housing
f.age18-44,0.8208478330466338,2.2724256585990537,0.5353360224825825,1.5333319608122216,0.1251940835861418,0.7958126456355553,6.488861922689493,housing
f.age45-54,0.5518084098712248,1.7363902856122202,0.4003783933793652,1.3782172539674915,0.16813622168839418,0.7922178820998637,3.8058358591663586,housing
f.age65-74,0.23628999784810903,1.2665415512391458,0.29583145126358884,0.7987318347621268,0.42444592332515685,0.7092629178087678,2.2616824603930135,housing
f.age75+,0.10703555077856569,1.1129738208618685,0.31804809995748573,0.3365388782164503,0.7364645388971376,0.5967080757713251,2.0759074264625412,housing
f.raceBlack,-0.2864875859508493,0.750896400138049,0.4640162812269659,-0.6174084779812254,0.5369653314183295,0.30241870380093067,1.8644528154298168,housing
f.raceAsian,0.9631053129074588,2.619819213489914,1.2771466058755245,0.754107091916217,0.4507849192923262,0.21436908836413465,32.016988847349175,housing
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,housing
f.raceAIAN,0.3245285736522488,1.3833783312394001,0.7723261909568447,0.4201962557429086,0.6743420898117131,0.30446384182560865,6.2855923904384685,housing
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,housing
f.raceOther,0.6566205373181158,1.9282648118825463,0.5421519489620633,1.2111374653825366,0.2258427246387463,0.6663249884628835,5.580167709636403,housing
f.ethnicityHispanic,-0.45667543158782953,0.633385883755042,0.5710229023583653,-0.7997497643294647,0.4238557939980552,0.20682965348002763,1.9396526126215994,housing
f.ethnicityUnknown,-0.45341634939734893,0.6354535078568077,0.7931565974773813,-0.5716605659455277,0.5675519548932553,0.13426031496334465,3.0075987886499926,housing
f.cancerMelanoma,-0.6017546768210033,0.5478494934086706,0.3955633759739906,-1.5212598369080819,0.1281946448025211,0.2523231561478837,1.189502667968488,housing
f.cancerOther,-0.5799774484837422,0.5599109932648935,0.27213128094156935,-2.131241386425811,0.03306926107324577,0.3284584417489745,0.9544596226833262,housing
f.iciother_combo,0.03573137193094133,1.0363774090323352,0.24163588039292755,0.1478727905509647,0.8824431620963294,0.6454121003001018,1.6641741508303838,housing
nci_cci_score,0.10924088320492426,1.1154310065784976,0.042609412728731595,2.563773500010315,0.010354108869111743,1.026061789740912,1.2125842155674527,housing
ppi,0.4088820998296702,1.5051342544391593,0.26175059987331617,1.5621056839127159,0.11826309411267265,0.9010994511287688,2.514072249237659,housing
nsaid,0.3071950362253586,1.359606114659123,0.31968141147401774,0.9609411908215565,0.3365817382508469,0.7266073695084019,2.5440545535192256,housing
acei_arb,0.5091087069062853,1.6638075936648098,0.2553505605999912,1.9937638112485223,0.0461778721430139,1.0086681574772385,2.7444662431500944,housing
diuretic,0.2720911309890597,1.312706624113354,0.24547871355211348,1.1084102855675775,0.26768466485053,0.8113641544911763,2.123828950850969,housing
f.housingRent,0.25924177268333176,1.2959470915602178,0.2769922600155444,0.9359170276771759,0.3493159093952982,0.753027839104388,2.2303011614031063,housing
f.housingOther_Arrangement,0.9517133136281244,2.590143588184274,0.4364381733790432,2.1806371937167115,0.02921026183784098,1.1011005859938423,6.092852817217214,housing
f.housingUnknown,-0.11632963214687282,0.8901817424109048,0.5901983724564692,-0.19710259732282276,0.8437472509297446,0.27996317959799016,2.830456260925404,housing
