variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.3316453413631249,1.3932586296717928,0.24098741177306193,1.3761936315388774,0.1687616932416463,0.8687661377575803,2.234398332059052,income
f.sexOther,-0.9259185689309699,0.3961673448725022,0.8036783155290125,-1.152100972540853,0.24927958355022692,0.08199482671712206,1.9141276520382509,income
f.age18-44,0.7771322163272883,2.175225236797579,0.5401127622272553,1.4388332783003297,0.15019776525883835,0.7546740496811878,6.269733049387283,income
f.age45-54,0.4702622575261202,1.6004138587640988,0.41525968362057836,1.1324534407626183,0.25744384821008665,0.7091900274276375,3.611619481755246,income
f.age65-74,0.23137505581345025,1.2603318456024184,0.3062762101983392,0.7554457320195249,0.4499815821907579,0.6914839866916079,2.2971412087783003,income
f.age75+,0.16416946980137323,1.1784140037587973,0.32667491586900727,0.5025469107863894,0.6152828628285908,0.6212003651123156,2.2354455055797713,income
f.raceBlack,-0.6577713570166174,0.5180044961072394,0.5192048673309194,-1.2668821084016948,0.20519744704429893,0.18723435760146678,1.4331165573706273,income
f.raceAsian,1.1279551590849937,3.0893328426946387,1.3037691803727196,0.8651494268046247,0.3869567790331588,0.2399354191803934,39.777276091847774,income
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,income
f.raceAIAN,-0.04224360005211676,0.9586362282917927,0.8316136493035969,-0.05079714611164938,0.9594871650160972,0.1878378099116945,4.892430435733587,income
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,income
f.raceOther,0.4888536485352037,1.6304460839869745,0.5571665822648149,0.8773922630967432,0.38027361405976173,0.5470731335739979,4.859230456852416,income
f.ethnicityHispanic,-0.34728132025311753,0.7066065175699469,0.583817024789904,-0.5948461684173947,0.5519463033655927,0.225025474676411,2.218827763346865,income
f.ethnicityUnknown,-0.28966977800417304,0.7485107014695332,0.7996892266179516,-0.3622279360061476,0.7171817051140141,0.15613537477855813,3.588349347539105,income
f.cancerMelanoma,-0.4809200114194458,0.6182143658148571,0.38763732420806607,-1.2406442346643323,0.21473720330356835,0.28918888994956743,1.3215895056221456,income
f.cancerOther,-0.5280240700907799,0.589769161644742,0.2721679625752888,-1.9400669538565347,0.05237155348453414,0.34594915192306264,1.005430023729317,income
f.iciother_combo,0.05324644805744793,1.0546895392810014,0.2479647592503325,0.2147339332348152,0.8299747647561128,0.6487190521153466,1.7147176742251495,income
nci_cci_score,0.0979759313243569,1.1029362385744579,0.044404043542472724,2.2064641755123575,0.027351515911150766,1.0110057275079745,1.2032259692130955,income
ppi,0.4253207842987513,1.5300811669613328,0.2649443086727229,1.6053214595529821,0.10842307890930888,0.9103187021802183,2.571789826884465,income
nsaid,0.3061549802820799,1.3581927833382756,0.32572722065669674,0.9399121745638656,0.34726261194336755,0.7173017752195412,2.5717037102655675,income
acei_arb,0.5496911010782577,1.7327177005627952,0.25844323189560353,2.126931694231025,0.033425758990433097,1.0440962456328198,2.875511373976773,income
diuretic,0.22699633865820323,1.2548252735876466,0.24365692213472426,0.931622777918417,0.3515315072870308,0.778362867158513,2.022946537753643,income
f.income75k_100k,-0.28582876277252284,0.7513912710893086,0.44314349630990063,-0.6450027251954434,0.5189254196772163,0.3152548071622216,1.7908968537272287,income
f.income50k_75k,-0.129228273146126,0.878773342292427,0.4515343583891769,-0.28619809488505044,0.7747264028089794,0.3626854485219868,2.129235099645824,income
f.income25k_50k,0.09624117657584007,1.101024573311885,0.39810461124634833,0.24174845971901024,0.8089750775760386,0.5045796747322432,2.4025048406476253,income
f.income10k_25k,0.7551217707800313,2.1278706200449835,0.4172269401540587,1.809858611961171,0.07031771583475997,0.9392928206568627,4.820470545579424,income
f.incomelt10k,0.8404812906973708,2.317482090984234,0.5426228938783482,1.5489233870876817,0.12140013816151492,0.8000828145446045,6.712709165100108,income
f.incomeUnknown,0.15976692049288174,1.173237381530034,0.36469237705738444,0.438086811087204,0.6613233547514712,0.5740624997685375,2.39779806898108,income
