variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.27970571831462415,1.322740496753324,0.24155915471428238,1.1579181035198676,0.24689745893928558,0.823870826711258,2.123685370357734,insurance
f.sexOther,-0.9540682446455214,0.3851708624218294,0.8097271474553154,-1.1782589328316566,0.23869339446745783,0.07877935640761365,1.8831912321187472,insurance
f.age18-44,0.746607291908776,2.1098298235908204,0.5464313826250784,1.3663331127177294,0.17183443235158008,0.722976516448173,6.157021401444611,insurance
f.age45-54,0.44802496885515347,1.5652177768615672,0.4220969567617944,1.0614266738435436,0.28849604012156477,0.6843609031120033,3.57984606932245,insurance
f.age65-74,0.16937092500768217,1.1845594401644677,0.31029974421982665,0.545830050338985,0.585182764806214,0.6448062479582122,2.1761282117317395,insurance
f.age75+,0.041534551857181384,1.0424091784023073,0.34411562331046175,0.12069940753520754,0.9039291282841088,0.5310390731563034,2.0462089329113144,insurance
f.raceBlack,-0.32821032457798693,0.7202115255892109,0.46084926082858113,-0.7121858544112302,0.47634969526490417,0.2918666444549217,1.7771973997242825,insurance
f.raceAsian,1.0432734221248585,2.8384934104191544,1.3019938869777439,0.8012890325826024,0.4229643386226424,0.22122218855470846,36.42060000233859,insurance
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,insurance
f.raceAIAN,0.05875985089107294,1.0605205270971747,0.8058248396034957,0.07291888758354184,0.9418706638354893,0.21857461997176753,5.145628474796127,insurance
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,insurance
f.raceOther,0.5885895616831778,1.8014457945401285,0.5444514895757073,1.081068879326361,0.27966647545177015,0.6197025034689199,5.236717509612373,insurance
f.ethnicityHispanic,-0.5471018241522239,0.5786243377516137,0.5826319848219772,-0.9390178335633091,0.34772158822345184,0.18469683447830998,1.8127334189791526,insurance
f.ethnicityUnknown,-0.11148766795699183,0.8945024223775941,0.796121816897882,-0.1400384534007718,0.8886296083041435,0.18789767309449582,4.258352806939697,insurance
f.cancerMelanoma,-0.6169598778374215,0.5395823428561781,0.38986692019387914,-1.5824883976578725,0.11353811890552114,0.25130573831294556,1.1585453904741345,insurance
f.cancerOther,-0.5930660461718459,0.5526302945397414,0.2765325354854347,-2.1446519670126967,0.031980684006584645,0.3214028827786934,0.9502100286180974,insurance
f.iciother_combo,0.08080141132087061,1.0841555741637283,0.245516550085936,0.32910779860904854,0.7420742098607701,0.6700505079381692,1.7541861323366774,insurance
nci_cci_score,0.09344834444769308,1.0979538864620286,0.04372651001037261,2.1371096029737036,0.032589078079402506,1.0077760372129303,1.1962010330499313,insurance
ppi,0.4809612246520975,1.6176285595754356,0.26639471869612585,1.8054457948947773,0.07100495048930516,0.9596728540166075,2.726681437119003,insurance
nsaid,0.3418541753693148,1.4075550263557834,0.3220586842588515,1.0614654784298656,0.2884784134496448,0.7487356861828027,2.6460754960405617,insurance
acei_arb,0.5361526604522424,1.7094174850334127,0.25955962074858097,2.065624302061913,0.03886396792743927,1.02780468304586,2.843057816664546,insurance
diuretic,0.302047379086699,1.352625311343232,0.25184750692629043,1.1993264605756087,0.23040103009176185,0.8256662324287453,2.215901730054424,insurance
f.insuranceMedicare,0.38994879683951134,1.4769051697341289,0.32294626834426243,1.207472682185706,0.22725015936452045,0.7842603316634446,2.781281664164868,insurance
f.insuranceMedicaid,0.7243815973043372,2.0634546594062684,0.3422142297481214,2.1167489085345776,0.03428116356403469,1.0551195014194228,4.03541506502105,insurance
f.insuranceVA_Military,1.0409409400989584,2.831880390931424,1.1826135405009812,0.8802038066112391,0.37874891171800246,0.2788896745981298,28.755265178238673,insurance
f.insuranceUninsured,NA,NA,0,NA,NA,NA,NA,insurance
f.insuranceOther,-0.23574584089091238,0.7899814293960983,0.45081368490898,-0.5229340829316436,0.6010201254256304,0.32650029489994503,1.9113938594816493,insurance
f.insuranceUnknown,0.5222858377307672,1.6858768896576877,0.4306849371408741,1.2126865666535513,0.2252496777041777,0.7248133339088377,3.9212591078510015,insurance
