variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.1734754590068539,1.1894314965812265,0.289306026636401,0.5996261502871401,0.5487554152842534,0.6746549299516872,2.0969939182994897,joint_sdoh
f.sexOther,0.11534290385547838,1.1222581982632327,0.8199640854220125,0.14066823889745686,0.8881320372443159,0.2249769847098879,5.5981880332921135,joint_sdoh
f.age18-44,0.40027278690784995,1.492231703397991,0.6185828006793116,0.6470803689793521,0.5175799298134824,0.44391275931765195,5.016200615744555,joint_sdoh
f.age45-54,-1.0177614426317898,0.36140305680359547,0.6026963362505505,-1.6886803211106465,0.09128070882748461,0.11091129344754568,1.1776273218628948,joint_sdoh
f.age65-74,-0.6350682371627238,0.529899328257163,0.4175060438378848,-1.521099506308745,0.12823486835801062,0.23378227478157926,1.2010889121073673,joint_sdoh
f.age75+,0.15403683566585785,1.166533856038367,0.47282501543945893,0.3257797930227761,0.7445909682429196,0.4617723927941605,2.946909036830038,joint_sdoh
f.raceBlack,0.1360068564699784,1.1456897489553,0.6379353846868727,0.2131984833177684,0.8311721512119523,0.32813718142581594,4.000171498876628,joint_sdoh
f.raceAsian,-18.55510967207526,8.74215008770368e-9,7234.343737822698,-0.0025648642564584227,0.9979535366530032,0,Inf,joint_sdoh
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,joint_sdoh
f.raceAIAN,0.2676684525220699,1.3069137642141817,1.194366088722931,0.22410921998653932,0.8226723184280407,0.1257768384507522,13.579794246150156,joint_sdoh
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,joint_sdoh
f.raceOther,0.32421628150487297,1.3829463805006266,0.7208569896925231,0.4497650520710985,0.6528798596564596,0.3366749156122867,5.680674747810013,joint_sdoh
f.ethnicityHispanic,0.710264632408555,2.03452958987931,0.7687092302039026,0.923970474792081,0.3555016882750836,0.45095948673304936,9.178896938351327,joint_sdoh
f.ethnicityUnknown,0.026469101220534412,1.0268225192089344,0.9701926610743928,0.027282314412915152,0.9782345626724827,0.15334368454394773,6.875825953252124,joint_sdoh
f.cancerMelanoma,-0.7764273441808002,0.46004666721341536,0.5173161105304286,-1.500876018310531,0.1333876320200265,0.16690202932800152,1.2680668825077202,joint_sdoh
f.cancerOther,-0.5980836854287955,0.549864340163043,0.3404656352809245,-1.756663884551243,0.0789751168506998,0.2821309177161716,1.0716684120636097,joint_sdoh
f.icianti_pdl1,0.3698901770238546,1.4475756288695798,0.4216335658066126,0.8772787724246539,0.3803352392359365,0.6334992731165866,3.307778383056671,joint_sdoh
f.icictla4_containing,0.049169266405666476,1.050398132809797,0.4105409577077826,0.11976701832674265,0.9046677093980923,0.4697868372702862,2.3485890831281786,joint_sdoh
nci_cci_score,0.0845020136506375,1.0881750354341517,0.06256932606514581,1.3505341828782982,0.17684469659679672,0.9625862446782139,1.2301494170405087,joint_sdoh
ppi,-0.5466188343875648,0.5789038748856834,0.35299749935410746,-1.5485062511426664,0.12150045785664798,0.28982406290204066,1.1563211591265683,joint_sdoh
nsaid,0.3952565160465254,1.4847650081258676,0.34117511991193444,1.1585150644881452,0.24665390764945885,0.7607622168325187,2.8977873513930477,joint_sdoh
acei_arb,0.11941579863483201,1.126838358744395,0.3755615933518079,0.3179659495239415,0.7505107658624017,0.5397380237691072,2.3525574090013537,joint_sdoh
diuretic,0.4713584441469104,1.6021691729239829,0.3781415415776354,1.2465132558046041,0.2125760257270012,0.7635433649161848,3.361886405691832,joint_sdoh
f.insuranceMedicare,0.24046899259984822,1.2718454965955328,0.36064619656371905,0.6667725734835585,0.5049174140397348,0.6272660138399679,2.578795808349067,joint_sdoh
f.insuranceMedicaid,0.43015968560990553,1.537503021054199,0.5236377428603549,0.8214833469798636,0.4113710059099429,0.5509278449312013,4.290789731359446,joint_sdoh
f.insuranceVA_Military,-18.849884250171208,6.510274275688917e-9,8409.612832409606,-0.0022414687365304247,0.998211568199168,0,Inf,joint_sdoh
