variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,-1.349843276555713,0.25928089285636463,1825.2284353352024,-7.395475823319698e-4,0.9994099264558665,0,Inf,S3_KDIGO3
f.sexOther,-93.72574761145123,1.9743538915374904e-41,16822.69421518157,-0.005571387461044665,0.9955546989598831,0,Inf,S3_KDIGO3
f.age18-44,-33.232617164266046,3.6919664546552904e-15,16466.61463984731,-0.0020181815079249464,0.9983897252270523,0,Inf,S3_KDIGO3
f.age45-54,-131.97582404063522,4.826450700995088e-58,9210.357840340308,-0.01432906585481362,0.9885674508109439,0,Inf,S3_KDIGO3
f.age65-74,-35.011756940415275,6.231421939766889e-16,2648.2460224536226,-0.013220734268478796,0.9894516875316792,0,Inf,S3_KDIGO3
f.age75+,-50.457413057455184,1.2207421438327293e-22,2171.604661092188,-0.023235082315617293,0.9814627545139101,0,Inf,S3_KDIGO3
f.raceBlack,-56.01935313216466,4.689257210797357e-25,3978.190860540893,-0.01408161526079923,0.9887648678993961,0,Inf,S3_KDIGO3
f.raceAsian,87.188036156849,7333022050053539e22,54397.165392779636,0.001602804769831294,0.998721147367729,0,Inf,S3_KDIGO3
f.raceHispanic,0,1,0,NA,NA,1,1,S3_KDIGO3
f.raceAIAN,0,1,0,NA,NA,1,1,S3_KDIGO3
f.raceNative_Hawaiian_PI,0,1,0,NA,NA,1,1,S3_KDIGO3
f.raceOther,93.44835890320861,3838014530163093e25,2289.929542597924,0.04080839919519598,0.9674486433488102,0,Inf,S3_KDIGO3
f.ethnicityHispanic,-17.272004582651707,3.154014737918879e-8,4071.329104945561,-0.00424235038176376,0.996615104282175,0,Inf,S3_KDIGO3
f.ethnicityUnknown,-61.15065922128606,2.7708061023802264e-27,2706.667396982305,-0.02259260199072248,0.9819752450792,0,Inf,S3_KDIGO3
f.cancerMelanoma,39.1278046033582,98398760599713340,17942.115602768503,0.0021807798739921563,0.9982599907872217,0,Inf,S3_KDIGO3
f.cancerOther,38.65515788617495,61336892139078456,2320.4246359782,0.016658656905648415,0.986708929590155,0,Inf,S3_KDIGO3
f.icianti_pdl1,6.863381467797128,956.59630423176,2637.223517285633,0.0026025027544351927,0.9979235055768128,0,Inf,S3_KDIGO3
f.icictla4_containing,66.52366297535005,777785327550577e14,3362.9585284766854,0.019781291506286634,0.9842178421794987,0,Inf,S3_KDIGO3
nci_cci_score,18.485573103698073,106704416.1297494,995.1998903407833,0.01857473386313187,0.9851803588150747,0,Inf,S3_KDIGO3
ppi,-55.22048243316944,1.0424354962623432e-24,9603.769513884034,-0.005749875853781994,0.9954122881088606,0,Inf,S3_KDIGO3
nsaid,-32.25019828211956,9.86090661125924e-15,2313.1777345598653,-0.013941945662145972,0.988876297176693,0,Inf,S3_KDIGO3
acei_arb,41.551901501639875,1111121457925093800,3732.5645112327957,0.011132266134073076,0.991117920180688,0,Inf,S3_KDIGO3
diuretic,54.95242589289157,7337284052293006e8,1935.6888714845945,0.028389079827041263,0.9773518337280929,0,Inf,S3_KDIGO3
