variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.37797058536436273,1.4593200168778988,0.28639009480804933,1.319775342152439,0.18691003654202934,0.8324819941680349,2.5581513192832515,S4_180day
f.sexOther,-0.23236899011627168,0.7926535879990853,0.9343727064275442,-0.24868983064017902,0.8036007157336267,0.1269825196114712,4.947922851824284,S4_180day
f.age18-44,0.4044521009281856,1.4984812586078748,0.6045749427774606,0.6689858813369004,0.5035044843176493,0.45818006694282176,4.90079391140178,S4_180day
f.age45-54,-0.9625743690134928,0.3819084460934221,0.48898316359060245,-1.9685225191503752,0.04900794766927946,0.14646573646014363,0.9958237654933185,S4_180day
f.age65-74,-0.46190616461828476,0.6300814611024548,0.32907122593807225,-1.4036662224159662,0.16041826524237357,0.3305908021052826,1.2008883643973,S4_180day
f.age75+,-0.533125245250007,0.5867683062994027,0.3652342639890951,-1.4596802595331657,0.14437796970133351,0.28679969073456185,1.2004791371833197,S4_180day
f.raceBlack,0.11761514740399738,1.1248111415700652,0.5035962784069441,0.23355046978515476,0.8153339836739335,0.41919653111476995,3.0181549948316717,S4_180day
f.raceAsian,-16.784839736800333,5.133773722412297e-8,4045.5452892525873,-0.004148968442249555,0.9966896116341442,0,Inf,S4_180day
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S4_180day
f.raceAIAN,1.651516934862558,5.214884470306926,1.1713271496125923,1.409953602978284,0.15855338332867266,0.5250603385137788,51.7940854485902,S4_180day
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,S4_180day
f.raceOther,-0.1448839618161131,0.8651226745505829,0.6174325038839081,-0.23465554680832726,0.8144760928849968,0.257939702578052,2.901597677833556,S4_180day
f.ethnicityHispanic,0.8306692461927262,2.294854048792202,0.6442098715511875,1.289438865928218,0.19724555689224318,0.6492360593929651,8.111618307495114,S4_180day
f.ethnicityUnknown,0.6939280667149004,2.001562382251852,0.9119361235688819,0.7609393342147669,0.4466933031762219,0.3350639426861365,11.956678889194812,S4_180day
f.cancerMelanoma,-0.08172753698477955,0.9215230054309752,0.4730247254386544,-0.17277645879713877,0.862827141895294,0.36464209699352096,2.328871670441348,S4_180day
f.cancerOther,-0.2974272066877643,0.7427266467857306,0.33693295834117115,-0.8827489247478005,0.3773719418136589,0.3837347692032571,1.4375629109422206,S4_180day
f.icianti_pdl1,0.3538138295969721,1.4244899639216666,0.4532816068749418,0.7805607468528668,0.43506088612127425,0.5859025531814289,3.463326190157775,S4_180day
f.icictla4_containing,0.12302336981374293,1.1309108498145892,0.40177249275341587,0.30620157435528417,0.7594511737801756,0.5145635332228092,2.4855227151795836,S4_180day
nci_cci_score,0.08981618315699724,1.0939731745268784,0.05788712797548393,1.5515743533698156,0.12076410368786794,0.9766367447888517,1.2254067983517845,S4_180day
ppi,0.022968171585084407,1.023233971113531,0.3241165695015326,0.07086392287937565,0.9435060565329622,0.5421087611035302,1.9313610750533738,S4_180day
nsaid,0.5660637197111448,1.7613203377693172,0.3163851790406731,1.7891600403898,0.07358904503483636,0.9473943649210221,3.2745068443577185,S4_180day
acei_arb,-0.13071918138013863,0.8774641480673048,0.3931618079076896,-0.3324818910458113,0.7395254115669665,0.4060405835164598,1.8962226003999167,S4_180day
diuretic,0.7259636819549032,2.066721803117543,0.3401827336163695,2.134040356009327,0.032839477498785005,1.0610062771837867,4.025743394109581,S4_180day
