variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.1637786307708971,1.177953523564747,0.28526835075653323,0.5741212803192337,0.565885733912326,0.6734530051401252,2.060388019784529,S5_mono_ICI
f.sexOther,-0.10095243156419018,0.9039760325890215,0.880799513347748,-0.11461454057858136,0.9087506539503983,0.16084923917662172,5.08036389651856,S5_mono_ICI
f.age18-44,0.349274430106629,1.418038289348253,0.5885171388856981,0.5934821724443697,0.5528585103788722,0.4474466499362129,4.494016415910993,S5_mono_ICI
f.age45-54,-0.7776225085986548,0.45949716424481707,0.5667993431245479,-1.3719537928747754,0.17007782276076738,0.15129422810649787,1.3955432840465403,S5_mono_ICI
f.age65-74,-0.6115248314471744,0.5425229819370672,0.3784249613609277,-1.6159738227836529,0.10609997301062123,0.2584057831880175,1.139027084837843,S5_mono_ICI
f.age75+,-0.16007138985582814,0.8520829567154008,0.36491578908703193,-0.4386529567720385,0.6609130188903678,0.4167398162108901,1.7422030170437237,S5_mono_ICI
f.raceBlack,0.5568150620897057,1.745105586923937,0.5261865029373823,1.0582085609975598,0.2899603691324455,0.6222013450111674,4.894546651065949,S5_mono_ICI
f.raceAsian,-17.465310803528542,2.5996321140599975e-8,4050.973411045018,-0.0043113861858261535,0.9965600221837542,0,Inf,S5_mono_ICI
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S5_mono_ICI
f.raceAIAN,0.049458820092034436,1.0507023234989488,1.3237934957016906,0.037361431562117076,0.9701968243407699,0.07846294887636683,14.070021435793988,S5_mono_ICI
f.raceNative_Hawaiian_PI,NA,NA,0,NA,NA,NA,NA,S5_mono_ICI
f.raceOther,0.697110720402653,2.0079428101093546,0.603151412310271,1.155780631819275,0.24777089719696524,0.6156699066216779,6.5486948205629405,S5_mono_ICI
f.ethnicityHispanic,0.7989073760917205,2.223110577236871,0.6738326865540892,1.1856168334267818,0.23577365143484597,0.5934629927326609,8.327765503735105,S5_mono_ICI
f.ethnicityUnknown,-0.10289300954383433,0.9022234976214174,0.8382417987205584,-0.12274860273119761,0.9023061754340383,0.1745024067149173,4.664733598717975,S5_mono_ICI
f.cancerMelanoma,-0.708856404553711,0.4922067611376948,0.5537991164820159,-1.2799883269166077,0.20054924130299093,0.1662466537399796,1.4572774263990997,S5_mono_ICI
f.cancerOther,-0.6436998492369154,0.5253451261460017,0.3107171824194596,-2.071658362194912,0.03829731299872455,0.2857338956268008,0.9658899619169711,S5_mono_ICI
nci_cci_score,0.050028758080545514,1.0513013293496078,0.05573726081920947,0.897581928950901,0.36940847676910304,0.9425048010487467,1.1726566101970333,S5_mono_ICI
ppi,-0.44269086970466454,0.6423057325618976,0.3462827293491174,-1.2784087457574294,0.20110534193326673,0.32582575065871705,1.2661879954172324,S5_mono_ICI
nsaid,0.1799092919959285,1.1971087708495303,0.31404170452181424,0.5728834400191313,0.5667236178339775,0.6468756882870141,2.215370642603329,S5_mono_ICI
acei_arb,0.2907065182570064,1.3373720320744444,0.35080401188299515,0.8286864129534719,0.4072818760767666,0.672430370829988,2.659850045094312,S5_mono_ICI
diuretic,0.32150741954539847,1.3792052390640437,0.35866100418605906,0.8964103033030411,0.3700336664705705,0.6828669564272443,2.785618887482917,S5_mono_ICI
