variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.4772216624607675,1.6115906336106163,0.26745206238541475,1.7843259767915418,0.07437071155933316,0.9541114910766502,2.7221392831257862,S4_180day_window
f.sexOther,0.8548856943665393,2.3511056205975094,0.9267132862976106,0.9224921094872441,0.3562719442211314,0.3823423105295562,14.457457328092108,S4_180day_window
f.age45-54,-0.018553092406594283,0.9816179567485929,0.5945302644203554,-0.031206304400134867,0.9751050121802298,0.30610992840468393,3.1478032027024527,S4_180day_window
f.age55-64,-0.08239131533533814,0.9209115213778183,0.5655272458397832,-0.14568938268038817,0.884166603329293,0.30397666224386904,2.789944543591398,S4_180day_window
f.age65+,-0.31673131734186566,0.7285264712605781,0.5345593142692133,-0.5925092106473975,0.5535096548210408,0.2555216030367014,2.077126994429338,S4_180day_window
f.raceBlack,0.5383031187959852,1.7130974715377185,0.5020914273995059,1.0721217081598693,0.28366536966484246,0.64032591129082606,4.583139453271363,S4_180day_window
f.raceAsian,-15.695994116742087,1.5251633730896545e-7,4455.902411222161,-0.003522517476417757,0.9971894435027007,0,Inf,S4_180day_window
f.raceOther,0.6662542932748379,1.9469310129468778,0.49857038147258137,1.3363294692857286,0.18144160839793957,0.7327683198739294,5.172904267786175,S4_180day_window
f.ethnicityHispanic,-0.2864380132278011,0.7509336250399933,0.5388553766865041,-0.531567514439863,0.5950255692443195,0.26117224562365476,2.1591165166465602,S4_180day_window
f.ethnicityOther,0.6023563080551426,1.8264173359454166,0.8148259182371379,0.7392453953334355,0.45975800008975054,0.3698443101192982,9.019471690576898,S4_180day_window
f.cancerMelanoma,-0.4223545494179142,0.6555015904812165,0.4904748798325735,-0.8611135183153262,0.3891755245051484,0.25065754118469546,1.714220657765073,S4_180day_window
f.cancerOther,0.31641973978259336,1.3722061042561726,0.3191966126103235,0.9913004314017575,0.3215389024128176,0.7340382610751283,2.565192705077785,S4_180day_window
f.iciother_combo,0.13383447019452424,1.1432035697173126,0.2828237225646136,0.4732080780951767,0.6360647350873926,0.6567250508112147,1.990048042479955,S4_180day_window
nci_cci_score,0.08189462056179059,1.0853414311327954,0.047800751216533585,1.713249655655295,0.08666661995293737,0.9882761361474237,1.1919401663642561,S4_180day_window
ppi_flag,-0.8097594578972468,0.4449650861885049,0.5558541572264325,-1.4567840275545219,0.14517600625439628,0.1496862882335465,1.3227258840023182,S4_180day_window
nsaid_flag,0.47864794820658146,1.6138908623612174,0.42476398353273254,1.1268562466753884,0.2598032648243639,0.7019632958428832,3.7105126878258,S4_180day_window
acei_arb_flag,0.647558196846391,1.910869161344364,0.4997932206356833,1.2956522219784545,0.1950953288314096,0.7174740384723225,5.089272581279289,S4_180day_window
diuretic_flag,-0.9384319751208755,0.3912408299926628,0.5562900020153125,-1.6869474046291488,0.0916134657151775,0.1315010629626798,1.1640163478890586,S4_180day_window
