variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.28822817860090755,1.3340616737229838,0.30985404157384255,0.9302062904744095,0.3522642855546953,0.7268213385159277,2.4486355242823783,S5_no_CKD
f.sexOther,1.9181660284181208,6.808460489270016,1.4526174636843903,1.3204894450001463,0.18667165776916553,0.3949832643482499,117.35974259679108,S5_no_CKD
f.age45-54,-1.1631230465044122,0.3125086761520852,0.687214487649157,-1.6925182274361776,0.09054720772265927,0.08126509487500004,1.2017665495936436,S5_no_CKD
f.age55-64,-0.3929017563058864,0.6750950681616648,0.608353030145179,-0.6458449894005184,0.5183797485844142,0.2048961967759632,2.224313375394326,S5_no_CKD
f.age65+,-1.304373037954469,0.2713426032404447,0.6079268193123921,-2.145608643207757,0.031904215287850014,0.08242325104096374,0.8932771688016702,S5_no_CKD
f.raceBlack,-0.6792849683614677,0.506979369083719,0.6437701855781486,-1.055166864789528,0.29134901566334415,0.14355294653750558,1.7904758270452703,S5_no_CKD
f.raceAsian,22.328605072232804,4979548554.82752,5629.306498138626,0.003966493044856579,0.9968352047376352,0,Inf,S5_no_CKD
f.raceOther,0.20905595962783383,1.2325139676234227,0.6442646403913845,0.32448771284550765,0.7455688231924047,0.3486525079402307,4.357033567207978,S5_no_CKD
f.ethnicityHispanic,-0.44563153293750596,0.6404197021591607,0.6928496432754901,-0.6431864940144227,0.5201030959166573,0.16470621941006658,2.490114801873481,S5_no_CKD
f.ethnicityOther,-1.9945940940719378,0.13606887412166824,1.4946198016226009,-1.334516036724892,0.1820347947251579,0.0072700284374172365,2.5467216069537106,S5_no_CKD
f.cancerMelanoma,-0.9481424735249354,0.3874600727643756,0.6020129730856719,-1.574953557338051,0.11526716498154987,0.11906732149336181,1.260843916732812,S5_no_CKD
f.cancerOther,0.04980761991120054,1.051068872201727,0.38627419590616385,0.12894368932503097,0.8974022061247077,0.4929853150883897,2.2409303894038604,S5_no_CKD
f.iciother_combo,-0.006079856403913701,0.9939385885232647,0.352104715835861,-0.017267182546762364,0.9862234662325413,0.4984796971820954,1.9818538715624625,S5_no_CKD
nci_cci_score,0.2107865579683824,1.2346488009872194,0.07552224986228152,2.79105241637745,0.005253696350464325,1.0647772988211106,1.4316211131350207,S5_no_CKD
ppi_flag,-2.3001444747563027,0.10024435989708848,0.9583835915162621,-2.4000248909909194,0.016393957038390767,0.015320832161604217,0.6558998613900875,S5_no_CKD
nsaid_flag,0.5017329313854728,1.6515808685638385,0.565109239299271,0.8878512267957535,0.3746207832452854,0.5456045544046204,4.9994439074700345,S5_no_CKD
acei_arb_flag,0.024721608405045444,1.0250297211409332,0.7170547427572855,0.03447659841141782,0.972497103014601,0.25140757240349876,4.179213534332019,S5_no_CKD
diuretic_flag,-1.2248822030720878,0.2937923061163695,0.7641503217954296,-1.60293356965961,0.10894932125754231,0.06570440473646892,1.313670209468718,S5_no_CKD
