variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.1378632003515378,1.147818518363658,0.23809357098321962,0.5790294957659908,0.5625692710529849,0.7197929889022177,1.830369802723267,S6_PD1_PDL1_mono
f.sexOther,-0.9080606103720748,0.40330563282184334,1.1426642748946105,-0.7946871450547681,0.4267955118808022,0.042953315651754684,3.7867957571555464,S6_PD1_PDL1_mono
f.age45-54,0.10421411482954683,1.1098380622645727,0.5362951655368706,0.19432230891960567,0.8459235185745055,0.38793980439539644,3.1750815732117177,S6_PD1_PDL1_mono
f.age55-64,0.002485407326924851,1.002488498512136,0.5199089450877543,0.004780466561323242,0.9961857540650297,0.36185293728758045,2.7773249463784593,S6_PD1_PDL1_mono
f.age65+,-0.26450275520226063,0.7675875340057504,0.4723349311149412,-0.5599898245465457,0.5754863783089246,0.3041415050228954,1.9372253133181396,S6_PD1_PDL1_mono
f.raceBlack,0.05950139411657007,1.061307240564515,0.4500494080256342,0.1322108040928274,0.8948175557094862,0.43929714065970926,2.5640345784703906,S6_PD1_PDL1_mono
f.raceAsian,2.037203258127799,7.6691305991594,1.360970345097985,1.496875567836952,0.13442563860670315,0.5324588814622401,110.46029316938719,S6_PD1_PDL1_mono
f.raceOther,0.7102652631110564,2.034530873062616,0.4730454862990775,1.5014735024064885,0.13323313520193444,0.8050210498009672,5.141872842291927,S6_PD1_PDL1_mono
f.ethnicityHispanic,-0.6526091182069905,0.5206854729883452,0.5449068745683612,-1.1976525690264852,0.2310523015899899,0.1789574935952403,1.5149595377899698,S6_PD1_PDL1_mono
f.ethnicityOther,0.004389794198898978,1.0043994434597097,0.7518883322866762,0.005838359248837578,0.995341689759148,0.23009011154117626,4.384448489615512,S6_PD1_PDL1_mono
f.cancerMelanoma,-0.1996727450295649,0.8189987306324764,0.47361358165036815,-0.4215942125936913,0.67332123129161,0.3236999386253956,2.072162644287211,S6_PD1_PDL1_mono
f.cancerOther,0.3705235900186805,1.448492832537594,0.2948523609239702,1.2566410825322258,0.2088836313877332,0.8127136722273023,2.581636753030987,S6_PD1_PDL1_mono
f.iciother_combo,0.25917105520424155,1.295855448689283,0.30253367168570333,0.8566684619274035,0.3916281378306175,0.7162084340261613,2.3446265976761236,S6_PD1_PDL1_mono
nci_cci_score,0.08729443485522673,1.0912179250148233,0.04352252044826621,2.0057302278481495,0.04488503830966567,1.001993847335629,1.1883870974257584,S6_PD1_PDL1_mono
ppi_flag,-0.6068926329942915,0.5450418855813683,0.48370813403840046,-1.254666999141494,0.20959967041261693,0.21120138809784955,1.4065753057478045,S6_PD1_PDL1_mono
nsaid_flag,0.09912618671364978,1.1042056268473162,0.4051250536499879,0.24468046550211853,0.8067038546295469,0.4991221978819666,2.442828773264879,S6_PD1_PDL1_mono
acei_arb_flag,0.5055546582707249,1.6579048361136923,0.4374022795456379,1.1558116679133037,0.24775819941756205,0.7034643658369031,3.90730302641433,S6_PD1_PDL1_mono
diuretic_flag,-0.3938738275780356,0.6744391464928903,0.44629944219657947,-0.8825326458834062,0.37748883374951675,0.2812237507168451,1.6174599803984913,S6_PD1_PDL1_mono
