Variable,Cases_N,Controls_N,All_N,SMD,Cases_Pct,Controls_Pct,All_Pct
N,126,490,616,,,,
Demographics,,,,,,,
Sex at birth,,,,,,,
  Male,64,279,343,0.123,50.8,56.9,55.7
  Female,60,198,258,0.145,47.6,40.4,41.9
  Other,2,13,15,0.074,1.6,2.7,2.4
Race,,,,,,,
  White,85,364,449,0.15,67.5,74.3,72.9
  Black,10,38,48,0.007,7.9,7.8,7.8
  Asian,2,2,4,0.118,1.6,0.4,0.6
  AIAN,3,8,11,0.053,2.4,1.6,1.8
  Other,26,78,104,0.122,20.6,15.9,16.9
Ethnicity,,,,,,,
  Not_Hispanic,105,417,522,0.048,83.3,85.1,84.7
  Hispanic,16,58,74,0.026,12.7,11.8,12.0
  Unknown,5,15,20,0.049,4.0,3.1,3.2
Age group,,,,,,,
  18-44,7,24,31,0.029,5.6,4.9,5.0
  45-54,15,40,55,0.124,11.9,8.2,8.9
  55-64,37,165,202,0.093,29.4,33.7,32.8
  65-74,40,144,184,0.051,31.7,29.4,29.9
  75+,27,117,144,0.058,21.4,23.9,23.4
Comorbidities (NCI-CCI),,,,,,,
"Charlson score, median [IQR]",4.0 [3.0–6.0],3.0 [1.0–5.0],3.0 [1.0–5.0],0.373,,,
"NCI index, median [IQR]",1.5 [0.9–2.0],1.1 [0.5–1.7],1.3 [0.6–1.8],0.343,,,
  Acute MI,12,38,50,0.063,9.5,7.8,8.1
  History of MI,17,46,63,0.129,13.5,9.4,10.2
  CHF,36,116,152,0.111,28.6,23.7,24.7
  PVD,43,183,226,0.067,34.1,37.3,36.7
  CVD,37,123,160,0.096,29.4,25.1,26.0
  COPD,77,230,307,0.287,61.1,46.9,49.8
  Dementia,8,13,21,0.178,6.3,2.7,3.4
  Paralysis,9,24,33,0.094,7.1,4.9,5.4
  Diabetes (any),51,163,214,0.149,40.5,33.3,34.7
  Diabetes (complicated),36,114,150,0.121,28.6,23.3,24.4
  Renal disease,48,124,172,0.277,38.1,25.3,27.9
  Liver disease (mild),61,219,280,0.074,48.4,44.7,45.5
  Liver disease (mod/severe),15,30,45,0.202,11.9,6.1,7.3
  PUD,14,40,54,0.1,11.1,8.2,8.8
  Rheumatic disease,6,26,32,0.025,4.8,5.3,5.2
  AIDS,5,5,10,0.189,4.0,1.0,1.6
Cancer type (collapsed),,,,,,,
  Lung,36,96,132,0.211,28.6,19.6,21.4
  Melanoma,14,72,86,0.107,11.1,14.7,14.0
  Other,76,322,398,0.112,60.3,65.7,64.6
Cancer type (detailed),,,,,,,
  Other_Solid,45,170,215,0.021,35.7,34.7,34.9
  Lung,36,96,132,0.211,28.6,19.6,21.4
  Melanoma,14,72,86,0.107,11.1,14.7,14.0
  Renal_Cell,9,46,55,0.081,7.1,9.4,8.9
  Hepatocellular,9,25,34,0.085,7.1,5.1,5.5
  Breast,5,27,32,0.072,4.0,5.5,5.2
  Hematologic,1,19,20,0.205,0.8,3.9,3.2
  Urothelial,4,14,18,0.019,3.2,2.9,2.9
  Colorectal,3,12,15,0.004,2.4,2.4,2.4
  Head_Neck,0,8,8,0.182,0.0,1.6,1.3
  Unknown,0,1,1,0.064,0.0,0.2,0.2
ICI regimen (collapsed),,,,,,,
  anti_pd1,87,349,436,0.047,69.0,71.2,70.8
  other_combo,39,141,180,0.047,31.0,28.8,29.2
ICI regimen (detailed),,,,,,,
  anti_pd1,87,349,436,0.047,69.0,71.2,70.8
  combo_pd1_ctla4,15,79,94,0.121,11.9,16.1,15.3
  anti_pdl1,22,61,83,0.14,17.5,12.4,13.5
  anti_ctla4,2,1,3,0.147,1.6,0.2,0.5
Concomitant nephrotoxins,,,,,,,
  PPI,93,297,390,0.283,73.8,60.6,63.3
  NSAID,108,377,485,0.226,85.7,76.9,78.7
  ACEi/ARB,67,183,250,0.321,53.2,37.3,40.6
  Diuretic,81,252,333,0.262,64.3,51.4,54.1
Social determinants of health,,,,,,,
Insurance type,,,,,,,
  Private,34,176,210,0.193,27.0,35.9,34.1
  Medicare,32,131,163,0.03,25.4,26.7,26.5
  Medicaid,36,81,117,0.29,28.6,16.5,19.0
  VA_Military,1,4,5,0.003,0.8,0.8,0.8
  Other,10,57,67,0.124,7.9,11.6,10.9
  Unknown,13,40,53,0.074,10.3,8.2,8.6
Household income,,,,,,,
  gt100k,20,109,129,0.162,15.9,22.2,20.9
  75k_100k,11,59,70,0.108,8.7,12.0,11.4
  50k_75k,12,54,66,0.049,9.5,11.0,10.7
  25k_50k,17,84,101,0.101,13.5,17.1,16.4
  10k_25k,20,45,65,0.203,15.9,9.2,10.6
  lt10k,14,26,40,0.212,11.1,5.3,6.5
  Unknown,32,113,145,0.054,25.4,23.1,23.5
Education,,,,,,,
  Graduate,23,95,118,0.029,18.3,19.4,19.2
  College,26,130,156,0.139,20.6,26.5,25.3
  Some_College,28,146,174,0.173,22.2,29.8,28.2
  HS_GED,31,84,115,0.184,24.6,17.1,18.7
  lt_HS,16,20,36,0.314,12.7,4.1,5.8
  Unknown,2,15,17,0.098,1.6,3.1,2.8
Employment,,,,,,,
  Employed,24,84,108,0.049,19.0,17.1,17.5
  Self_Employed,5,37,42,0.154,4.0,7.6,6.8
  Retired,54,253,307,0.176,42.9,51.6,49.8
  Unable_to_Work,27,70,97,0.187,21.4,14.3,15.7
  Unemployed,10,24,34,0.124,7.9,4.9,5.5
  Student,0,3,3,0.111,0.0,0.6,0.5
  Homemaker,2,9,11,0.019,1.6,1.8,1.8
  Unknown,4,10,14,0.071,3.2,2.0,2.3
Housing,,,,,,,
  Own,67,321,388,0.252,53.2,65.5,63.0
  Rent,44,130,174,0.182,34.9,26.5,28.2
  Other_Arrangement,11,21,32,0.18,8.7,4.3,5.2
  Unknown,4,18,22,0.027,3.2,3.7,3.6
Housing stability concern,,,,,,,
  Stable,108,420,528,0.0,85.7,85.7,85.7
  Unstable,16,56,72,0.039,12.7,11.4,11.7
  Unknown,2,14,16,0.086,1.6,2.9,2.6
Baseline characteristics,,,,,,,
"Baseline Cr (mg/dL), median [IQR]",0.8 [0.7–1.0],0.9 [0.8–1.1],0.9 [0.7–1.1],0.292,,,
"Max Cr ratio, median [IQR]",1.8 [1.6–2.1],1.2 [1.1–1.3],1.2 [1.1–1.4],0.976,,,
EHR utilization,,,,,,,
"Unique diagnoses, median [IQR]",124.5 [93.2–178.8],115.5 [67.8–167.0],117.5 [72.8–172.0],0.164,,,
"EHR length (days), median [IQR]",3147.0 [1869.0–5458.8],2918.5 [1756.5–5736.5],3008.0 [1759.5–5642.0],0.034,,,
