variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.26839100051839754,1.3078584133719675,0.10030118508312263,2.675850741902738,0.0074539832934435255,1.074445044005894,1.591978704700003,base
f.sexOther,NA,NA,0,NA,NA,NA,NA,base
f.age18-44,-0.07904094277358342,0.9240020924621567,0.20539710497324568,-0.3848201404001241,0.7003706762240175,0.6177867961783003,1.38199759553947,base
f.age45-54,-0.366796830064681,0.6929504174350383,0.16937456243939034,-2.165595735167948,0.03034209257762723,0.4971990289705735,0.9657707538520013,base
f.age65-74,-0.2699974805588418,0.7633814176289934,0.1236477501859051,-2.183602048180408,0.028991502933379223,0.5990904936762245,0.9727264827810747,base
f.age75+,-0.5048730177462675,0.603582214790965,0.14308028945940354,-3.528599359519161,4.1776508343115436e-4,0.4559805007093923,0.7989628710990679,base
f.raceBlack,0.060898583264250614,1.062791123914848,0.18300703435323964,0.33276635228514956,0.7393106590579678,0.7424582691976207,1.5213312585135197,base
f.raceAsian,NA,NA,0,NA,NA,NA,NA,base
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,base
f.raceAIAN,NA,NA,0,NA,NA,NA,NA,base
f.raceNative_Hawaiian_PI,-0.3932898026190988,0.6748331508307107,0.770203295342505,-0.5106311606265007,0.6096093521008834,0.14914138620338643,3.0534769258418253,base
f.raceOther,0.057306249858574375,1.058980073237903,0.11777037527197015,0.486593081886982,0.6265467271316063,0.8407008043154203,1.3339332967905726,base
f.ethnicityHispanic,0.11586792914450177,1.122847566901316,0.13649258961505037,0.8488953830481474,0.3959395081583489,0.8592867187664409,1.4672479289638536,base
f.ethnicityUnknown,0.2510632135378606,1.2853913358969462,0.5715082990890422,0.4392993311523975,0.6604446587747236,0.4193403198402326,3.9400716034852805,base
f.cancerMelanoma,-0.07236286400280481,0.9301933008998429,0.15992738594545405,-0.4524732495001537,0.6509280881635215,0.6798964440318039,1.2726343616506264,base
f.cancerOther,0.20114071651572707,1.2227968274265082,0.11636781424584364,1.7284909733785028,0.0839002379700325,0.9734235304938399,1.536055000032482,base
f.iciother_combo,0.30652863260364027,1.3587003700494675,0.09985875974125025,3.069621867905271,0.0021432994282299103,1.117181571805116,1.652432104290557,base
nci_cci_score,0.10199808487058523,1.107381350947304,0.021987252937789643,4.6389644563228005,3.501592623326396e-6,1.0606732637645033,1.1561462877583617,base
ppi,0.23148492198113382,1.2604703210390478,0.10589720571255175,2.1859398500983906,0.028820006259506054,1.0242188379507597,1.5512167628151579,base
nsaid,0.11197963737471064,1.1184900850186692,0.12722150530203438,0.8801942494616906,0.37875408818616124,0.8716477169046707,1.4352358711241708,base
acei_arb,0.28759823747328217,1.3332215580474065,0.12181437544250978,2.360954825147168,0.018227950914230035,1.0500591005323656,1.6927425531964784,base
diuretic,-0.02018904734416471,0.9800133868653196,0.11715291784960659,-0.17233072564254964,0.8631775301129535,0.7789530168873916,1.232970689648253,base
