variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.08644274039133946,1.0902889364125745,0.11317272663032961,0.763812474658301,0.4449790017667547,0.8733911875208838,1.3610510179726756,base
f.sexOther,NA,NA,0,NA,NA,NA,NA,base
f.age18-44,-0.14537371388730266,0.8646990826648572,0.22615704119706,-0.6427998576468487,0.5203539755220477,0.5550853632064526,1.3470081416709092,base
f.age45-54,-0.3604991363182585,0.6973281773723577,0.18834588708256927,-1.9140271226640517,0.05561669025996519,0.4820775471657507,1.0086895558947562,base
f.age65-74,-0.15992451943837196,0.8522081116855174,0.14049803999473057,-1.1382686864839537,0.2550083052243221,0.6470733524480927,1.122374554407036,base
f.age75+,-0.061752426271165936,0.9401156059084202,0.15820364189225913,-0.39033504875457276,0.6962888095186394,0.6894742925722221,1.2818713648848288,base
f.raceBlack,0.20329984356072958,1.225439853414816,0.21338623886285937,0.9527317442967248,0.3407260051281353,0.8065983038316272,1.8617728641427913,base
f.raceAsian,NA,NA,0,NA,NA,NA,NA,base
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,base
f.raceAIAN,NA,NA,0,NA,NA,NA,NA,base
f.raceNative_Hawaiian_PI,-1.0315807087305824,0.35644308233073496,1.0587651918578986,-0.9743243512949141,0.3298955174099115,0.04474738136947451,2.8393096322750733,base
f.raceOther,-0.04102003534950562,0.9598098996283585,0.1318171966830322,-0.3111888007157552,0.755657096402703,0.7412798991284906,1.242762746578828,base
f.ethnicityHispanic,0.21508537192882743,1.2399677508860978,0.1505615216186799,1.4285547171445576,0.15313225721197526,0.9231073110591362,1.6655918600335202,base
f.ethnicityUnknown,1.1804465741152341,3.255827846725664,0.7111262675096031,1.659967614822066,0.09692096772344767,0.8078852089668679,13.12118955744987,base
f.cancerMelanoma,-0.13927038883779727,0.8699927603213906,0.1833259110807746,-0.7596874223438815,0.4474414487390273,0.6073909828381836,1.246128810597237,base
f.cancerOther,0.17266161877604805,1.1884638831722882,0.13206629483351348,1.307385953347977,0.1910816654833593,0.9174258106320855,1.5395756095327324,base
f.icianti_pdl1,0.18794809025618625,1.2067708705569493,0.21727838020094487,0.8650105458369435,0.38703300057883827,0.7882738614769828,1.847449224430868,base
f.icictla4_containing,0.6597821818756687,1.9343709474593043,0.12412514139799247,5.315459659861783,1.0638841813189615e-7,1.5166460869514087,2.467148397089748,base
nci_cci_score,0.08039851839704958,1.0837188635342951,0.025656581158304458,3.1336411465339133,0.0017265186004007968,1.030570511295567,1.1396081707244128,base
ppi,0.16685231235935516,1.1815797476964605,0.13482223624539855,1.2375726512624863,0.21587456034470298,0.9071981230159127,1.5389479593774935,base
nsaid,0.007137795738923556,1.0071633305207932,0.17149316480764645,0.04162145906473643,0.9668004662032482,0.719655516422368,1.4095326877900218,base
acei_arb,0.47807519010651184,1.6129667579665732,0.1424216113775785,3.3567601537597507,7.886149088466151e-4,1.2201013891909684,2.132332431840211,base
diuretic,0.2635342648889111,1.301521890680605,0.1438466759786461,1.8320497369576514,0.06694401084074778,0.9817682078996917,1.7254166699334497,base
