variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.007145706855488983,1.0071712983388186,0.18753036758072583,0.03810426517941413,0.9696045506601136,0.6973923880114097,1.454552762025423,S2_KDIGO2
f.sexOther,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
f.age18-44,-0.004968935904630699,0.9950433888353172,0.3428952340409652,-0.014491119768777734,0.9884381639190741,0.5081232487932469,1.9485653294083856,S2_KDIGO2
f.age45-54,-0.6068403211438165,0.5450703984767642,0.32800105115594824,-1.8501170011656274,0.06429668806759212,0.2865877324319,1.0366868699315903,S2_KDIGO2
f.age65-74,-0.3186007850172377,0.7271657868459575,0.23043033303817137,-1.3826338781728909,0.1667771557395138,0.46290383848792666,1.1422892566337872,S2_KDIGO2
f.age75+,-0.43170365213786444,0.6494017970062735,0.2806285682891047,-1.538345346554744,0.12396419772526372,0.3746640433269392,1.1256022601212732,S2_KDIGO2
f.raceBlack,0.08479059461364327,1.0884891073492045,0.3531065190939718,0.2401275253461918,0.8102313962314813,0.544827817451772,2.174647657234841,S2_KDIGO2
f.raceAsian,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
f.raceAIAN,NA,NA,0,NA,NA,NA,NA,S2_KDIGO2
f.raceNative_Hawaiian_PI,-16.25885370435327,8.686994651600875e-8,4408.791670407117,-0.0036878253543905595,0.9970575477563818,0,Inf,S2_KDIGO2
f.raceOther,-0.2837477018520626,0.7529565902969374,0.2329994148778586,-1.2178043537182568,0.2232983294712599,0.4769144456372818,1.1887742802883774,S2_KDIGO2
f.ethnicityHispanic,0.3274802723847987,1.3874676795994967,0.25853107915114254,1.2666959557049893,0.2052640266765895,0.8359125040217941,2.3029522260657806,S2_KDIGO2
f.ethnicityUnknown,20.379538243313554,709122071.1088686,5917.983593113067,0.0034436625115064237,0.997252360280078,0,Inf,S2_KDIGO2
f.cancerMelanoma,0.0750480342035283,1.0779359274348277,0.3034506933911956,0.24731541511681304,0.8046641297363097,0.5946963166433911,1.9538474194914877,S2_KDIGO2
f.cancerOther,0.16686998490799518,1.1816006294065398,0.22153167210490282,0.753255655602042,0.4512963006110551,0.7654249464289398,1.8240587191830557,S2_KDIGO2
f.icianti_pdl1,-0.11178900869545416,0.8942329129662006,0.39472915268627523,-0.283204338809762,0.7770202025642245,0.41253099707409013,1.9384058611440527,S2_KDIGO2
f.icictla4_containing,0.6961826646693733,2.0060801917128632,0.20491835156442922,3.3973661185268886,6.803787134929064e-4,1.3425221896018522,2.997609847161044,S2_KDIGO2
nci_cci_score,0.1018583436397195,1.1072266149260377,0.04256420638000184,2.3930516342852837,0.01670888945851398,1.0186049877256602,1.2035585841159815,S2_KDIGO2
ppi,0.21470042684944526,1.2394905232609077,0.22839490303666155,0.94004035989797,0.34719685875940465,0.7921968600735088,1.939337094962786,S2_KDIGO2
nsaid,-0.09391347943198589,0.910361523829609,0.2847810573557351,-0.32977431962644055,0.7415704928628856,0.5209641261651767,1.5908160705226793,S2_KDIGO2
acei_arb,0.5200861214217364,1.6821725145493722,0.2412656607689784,2.1556574597648184,0.03111042223375527,1.0483464523887323,2.699207272803446,S2_KDIGO2
diuretic,0.22104874184529613,1.247384228891451,0.23125174338419988,0.9558792448887508,0.3391332460255362,0.7927904463549843,1.9626465248679488,S2_KDIGO2
