variable,coef,exp_coef,se,z,p,lower95,upper95,model
f.sexFemale,0.16944320186673942,1.1846450594942801,0.15150283008269874,1.1184160835427814,0.2633893283048029,0.8802961547383085,1.5942179338513638,S5_mono_ICI
f.sexOther,NA,NA,0,NA,NA,NA,NA,S5_mono_ICI
f.age18-44,0.14111894285806972,1.151561609868385,0.3445661828068748,0.4095554058976391,0.6821321151884481,0.5861272482851748,2.2624679968426706,S5_mono_ICI
f.age45-54,-0.023696199644248375,0.9765823507613887,0.2535372851219894,-0.09346238614508691,0.9255362303647638,0.5941519720017929,1.605166914796947,S5_mono_ICI
f.age65-74,-0.14280203442319625,0.8669256733500118,0.18314670910395098,-0.7797138977918747,0.43555929659867887,0.6054622953780886,1.2412996298044459,S5_mono_ICI
f.age75+,-0.048156825662992626,0.9529843229596366,0.20534164354705417,-0.23452050364035126,0.8145809173685149,0.6372335490838771,1.4251903734705849,S5_mono_ICI
f.raceBlack,0.3812184398483116,1.4640673811392302,0.2628072793309405,1.4505627120330318,0.1469016647125964,0.8746999528020976,2.450546944296969,S5_mono_ICI
f.raceAsian,NA,NA,0,NA,NA,NA,NA,S5_mono_ICI
f.raceHispanic,NA,NA,0,NA,NA,NA,NA,S5_mono_ICI
f.raceAIAN,NA,NA,0,NA,NA,NA,NA,S5_mono_ICI
f.raceNative_Hawaiian_PI,-0.10878049267426115,0.8969272779994598,1.1361937854291182,-0.0957411438693769,0.923726162891433,0.09674473263788838,8.315476409766417,S5_mono_ICI
f.raceOther,0.07697720828181544,1.0800174606584863,0.175343549923249,0.4390079265277208,0.6606557928699078,0.7659105936784215,1.5229423968732183,S5_mono_ICI
f.ethnicityHispanic,0.5023352056845024,1.652575872876429,0.2003366778370853,2.5074550057828335,0.012160406246554097,1.115923744519998,2.447306125552515,S5_mono_ICI
f.ethnicityUnknown,1.4163671409139216,4.122118131805716,0.8197540718205265,1.7277951883403575,0.08402495035836682,0.8266934613985669,20.554000589063936,S5_mono_ICI
f.cancerMelanoma,-0.6676402230862067,0.5129175217329955,0.3120793186913245,-2.1393286357003527,0.03240906211280516,0.27823075711397965,0.9455618308688395,S5_mono_ICI
f.cancerOther,0.2010214819483863,1.2226510364676781,0.15680852161995856,1.2819550868260996,0.1998584019959178,0.8991390605357993,1.6625632480972268,S5_mono_ICI
nci_cci_score,0.10770775418000396,1.113722217159051,0.03613757266387711,2.9804922201558917,0.002877855480314363,1.0375678963744666,1.1954660329486626,S5_mono_ICI
ppi,0.12645128808086356,1.134794171827766,0.17390468132967654,0.7271298685809723,0.4671464030243488,0.8070290417442387,1.595677163774706,S5_mono_ICI
nsaid,-0.023173443189382265,0.9770929989496469,0.2382592523487721,-0.09726146187792187,0.9225187598210587,0.6125326714907765,1.5586282545106505,S5_mono_ICI
acei_arb,0.41749577056538334,1.5181549829476662,0.19891800273229282,2.098833513461605,0.035831579431209286,1.0280087198418715,2.2419990295445666,S5_mono_ICI
diuretic,0.3443776344187802,1.41111141914323,0.20100423451556249,1.713285470073603,0.08666003414952107,0.9516257645206017,2.0924564166666295,S5_mono_ICI
