Variable,Coefficient,AOR,95% CI,SE,P Value,Model
f.sexFemale,0.0435,1.045,(0.660–1.654),0.2346,0.8527,base
f.sexOther,-0.405,0.667,(0.131–3.404),0.8316,0.6262,base
f.age18-44,0.6528,1.921,(0.728–5.066),0.4948,0.1870,base
f.age45-54,-0.2405,0.786,(0.360–1.717),0.3985,0.5462,base
f.age65-74,-0.1894,0.827,(0.477–1.436),0.2811,0.5004,base
f.age75+,-0.3044,0.738,(0.408–1.332),0.3016,0.3129,base
f.raceBlack,0.233,1.262,(0.525–3.036),0.4478,0.6027,base
f.raceAsian,0.4326,1.541,(0.247–9.608),0.9337,0.6431,base
f.raceHispanic,,,—,0.0,—,base
f.raceAIAN,0.4189,1.52,(0.250–9.232),0.9203,0.6489,base
f.raceNative_Hawaiian_PI,,,—,0.0,—,base
f.raceOther,0.3137,1.368,(0.530–3.533),0.4839,0.5168,base
f.ethnicityHispanic,0.1432,1.154,(0.408–3.261),0.5301,0.7871,base
f.ethnicityUnknown,0.4076,1.503,(0.344–6.560),0.7517,0.5876,base
f.cancerMelanoma,-0.3039,0.738,(0.358–1.521),0.369,0.4101,base
f.cancerOther,-0.4105,0.663,(0.391–1.126),0.2698,0.1281,base
f.iciother_combo,0.1118,1.118,(0.684–1.829),0.2512,0.6563,base
nci_cci_score,0.1041,1.11,(1.015–1.213),0.0455,0.0221,base
ppi,0.215,1.24,(0.782–1.966),0.2351,0.3604,base
nsaid,0.0404,1.041,(0.659–1.644),0.2331,0.8625,base
acei_arb,-0.1451,0.865,(0.498–1.503),0.282,0.6068,base
diuretic,0.7574,2.133,(1.314–3.461),0.2471,0.0022,base
