Variable,Coefficient,AOR,95% CI,SE,P Value,Model
f.sexFemale,0.0864,1.09,(0.873–1.361),0.1132,0.4450,base
f.sexOther,,,—,0.0,—,base
f.age18-44,-0.1454,0.865,(0.555–1.347),0.2262,0.5204,base
f.age45-54,-0.3605,0.697,(0.482–1.009),0.1883,0.0556,base
f.age65-74,-0.1599,0.852,(0.647–1.122),0.1405,0.2550,base
f.age75+,-0.0618,0.94,(0.689–1.282),0.1582,0.6963,base
f.raceBlack,0.2033,1.225,(0.807–1.862),0.2134,0.3407,base
f.raceAsian,,,—,0.0,—,base
f.raceHispanic,,,—,0.0,—,base
f.raceAIAN,,,—,0.0,—,base
f.raceNative_Hawaiian_PI,-1.0316,0.356,(0.045–2.839),1.0588,0.3299,base
f.raceOther,-0.041,0.96,(0.741–1.243),0.1318,0.7557,base
f.ethnicityHispanic,0.2151,1.24,(0.923–1.666),0.1506,0.1531,base
f.ethnicityUnknown,1.1804,3.256,(0.808–13.121),0.7111,0.0969,base
f.cancerMelanoma,-0.1393,0.87,(0.607–1.246),0.1833,0.4474,base
f.cancerOther,0.1727,1.188,(0.917–1.540),0.1321,0.1911,base
f.icianti_pdl1,0.1879,1.207,(0.788–1.847),0.2173,0.3870,base
f.icictla4_containing,0.6598,1.934,(1.517–2.467),0.1241,1.06e-07,base
nci_cci_score,0.0804,1.084,(1.031–1.140),0.0257,0.0017,base
ppi,0.1669,1.182,(0.907–1.539),0.1348,0.2159,base
nsaid,0.0071,1.007,(0.720–1.410),0.1715,0.9668,base
acei_arb,0.4781,1.613,(1.220–2.132),0.1424,7.89e-04,base
diuretic,0.2635,1.302,(0.982–1.725),0.1438,0.0669,base
