Variable,Coefficient,AOR,95% CI,SE,P Value,Model
f.raceBlack,0.1449,1.156,(0.511–2.616),0.4166,0.7279,S1_delta_0.3
f.cancerOther,-0.242,0.785,(0.479–1.287),0.2523,0.3376,S1_delta_0.3
f.iciother_combo,0.3243,1.383,(0.858–2.229),0.2434,0.1828,S1_delta_0.3
nci_cci_score,0.1297,1.138,(1.044–1.241),0.044,0.0032,S1_delta_0.3
ppi,0.1701,1.185,(0.763–1.842),0.2248,0.4491,S1_delta_0.3
acei_arb,-0.3322,0.717,(0.421–1.221),0.2715,0.2212,S1_delta_0.3
diuretic,1.0558,2.874,(1.773–4.659),0.2465,1.84e-05,S1_delta_0.3
f.raceBlack,0.0142,1.014,(0.174–5.920),0.9001,0.9874,S2_KDIGO2
f.cancerOther,-0.5459,0.579,(0.173–1.942),0.6172,0.3764,S2_KDIGO2
f.iciother_combo,-0.0119,0.988,(0.359–2.720),0.5167,0.9817,S2_KDIGO2
nci_cci_score,0.2778,1.32,(1.086–1.605),0.0996,0.0053,S2_KDIGO2
ppi,0.9569,2.604,(0.990–6.845),0.4932,0.0523,S2_KDIGO2
acei_arb,-0.3735,0.688,(0.228–2.075),0.5631,0.5071,S2_KDIGO2
diuretic,0.9236,2.518,(0.858–7.390),0.5492,0.0926,S2_KDIGO2
f.raceBlack,-78.7641,0.0,(0.000–inf),111049.2659,0.9994,S3_KDIGO3
f.cancerOther,-16.5323,0.0,(0.000–inf),2470.4539,0.9947,S3_KDIGO3
f.iciother_combo,-8.5934,0.0,(0.000–inf),3277.7028,0.9979,S3_KDIGO3
nci_cci_score,11.7304,124295.516,(0.000–inf),1094.5322,0.9914,S3_KDIGO3
ppi,30.088,11669166079145.426,(0.000–inf),5167.6304,0.9954,S3_KDIGO3
acei_arb,29.2497,5046237111763.729,(0.000–inf),5538.829,0.9958,S3_KDIGO3
diuretic,28.3749,2104001664934.004,(0.000–inf),3570.9368,0.9937,S3_KDIGO3
f.raceBlack,0.3347,1.398,(0.510–3.827),0.514,0.5149,S4_180day
f.cancerOther,-0.3496,0.705,(0.372–1.334),0.3256,0.2829,S4_180day
f.iciother_combo,0.1156,1.123,(0.590–2.135),0.328,0.7246,S4_180day
nci_cci_score,0.0664,1.069,(0.952–1.200),0.0591,0.2607,S4_180day
ppi,0.3523,1.422,(0.801–2.527),0.2933,0.2297,S4_180day
acei_arb,-0.2254,0.798,(0.412–1.548),0.3378,0.5046,S4_180day
diuretic,0.9296,2.534,(1.415–4.535),0.297,0.0018,S4_180day
f.raceBlack,-0.0673,0.935,(0.288–3.031),0.6,0.9107,S5_mono_ICI
f.cancerOther,-0.4443,0.641,(0.324–1.269),0.3481,0.2018,S5_mono_ICI
nci_cci_score,0.1386,1.149,(1.014–1.301),0.0635,0.0289,S5_mono_ICI
ppi,0.0576,1.059,(0.561–2.000),0.3241,0.8589,S5_mono_ICI
acei_arb,-0.2271,0.797,(0.399–1.591),0.3528,0.5198,S5_mono_ICI
diuretic,1.0315,2.805,(1.456–5.406),0.3347,0.0021,S5_mono_ICI
