Variable,Coefficient,AOR,95% CI,SE,P Value,Model
f.raceBlack,0.2997,1.349,(0.973–1.871),0.1668,0.0724,S1_delta_0.3
f.cancerOther,0.1693,1.184,(0.968–1.449),0.103,0.1003,S1_delta_0.3
f.iciother_combo,0.2185,1.244,(1.040–1.489),0.0917,0.0171,S1_delta_0.3
nci_cci_score,0.1679,1.183,(1.136–1.232),0.0207,4.49e-16,S1_delta_0.3
ppi,0.2901,1.337,(1.105–1.617),0.0973,0.0029,S1_delta_0.3
nsaid,0.0895,1.094,(0.868–1.378),0.118,0.4482,S1_delta_0.3
acei_arb,0.2772,1.319,(1.059–1.644),0.1122,0.0135,S1_delta_0.3
diuretic,0.2311,1.26,(1.026–1.548),0.1049,0.0275,S1_delta_0.3
f.raceBlack,0.2047,1.227,(0.736–2.045),0.2606,0.4322,S2_KDIGO2
f.cancerOther,0.4516,1.571,(1.095–2.253),0.1841,0.0142,S2_KDIGO2
f.iciother_combo,0.3902,1.477,(1.082–2.017),0.1589,0.0140,S2_KDIGO2
nci_cci_score,0.1553,1.168,(1.095–1.246),0.0331,2.77e-06,S2_KDIGO2
ppi,0.4745,1.607,(1.169–2.209),0.1623,0.0035,S2_KDIGO2
nsaid,0.4437,1.559,(1.078–2.253),0.1881,0.0183,S2_KDIGO2
acei_arb,0.4452,1.561,(1.078–2.260),0.1888,0.0184,S2_KDIGO2
diuretic,0.035,1.036,(0.724–1.480),0.1823,0.8478,S2_KDIGO2
f.raceBlack,0.5186,1.68,(0.827–3.413),0.3618,0.1517,S3_KDIGO3
f.cancerOther,0.3342,1.397,(0.768–2.540),0.305,0.2733,S3_KDIGO3
f.iciother_combo,0.4934,1.638,(0.978–2.744),0.2633,0.0610,S3_KDIGO3
nci_cci_score,0.1164,1.123,(1.011–1.248),0.0538,0.0304,S3_KDIGO3
ppi,0.5077,1.662,(0.961–2.873),0.2794,0.0692,S3_KDIGO3
nsaid,0.1193,1.127,(0.604–2.101),0.318,0.7075,S3_KDIGO3
acei_arb,0.5185,1.679,(0.920–3.067),0.3073,0.0915,S3_KDIGO3
diuretic,-0.0067,0.993,(0.549–1.798),0.3027,0.9823,S3_KDIGO3
f.raceBlack,0.1758,1.192,(0.788–1.804),0.2114,0.4057,S4_180day
f.cancerOther,0.1097,1.116,(0.853–1.460),0.137,0.4234,S4_180day
f.iciother_combo,0.3526,1.423,(1.132–1.788),0.1166,0.0025,S4_180day
nci_cci_score,0.086,1.09,(1.036–1.146),0.0258,8.55e-04,S4_180day
ppi,0.3888,1.475,(1.161–1.875),0.1223,0.0015,S4_180day
nsaid,0.147,1.158,(0.874–1.535),0.1435,0.3058,S4_180day
acei_arb,0.3327,1.395,(1.061–1.833),0.1394,0.0170,S4_180day
diuretic,0.0651,1.067,(0.819–1.391),0.1351,0.6300,S4_180day
f.raceBlack,0.2193,1.245,(0.762–2.035),0.2506,0.3815,S5_mono_ICI
f.cancerOther,0.0792,1.082,(0.794–1.477),0.1584,0.6169,S5_mono_ICI
nci_cci_score,0.1091,1.115,(1.047–1.188),0.0324,7.58e-04,S5_mono_ICI
ppi,0.2912,1.338,(0.981–1.825),0.1585,0.0662,S5_mono_ICI
nsaid,0.1192,1.127,(0.768–1.653),0.1955,0.5419,S5_mono_ICI
acei_arb,0.2256,1.253,(0.885–1.774),0.1774,0.2035,S5_mono_ICI
diuretic,-0.0483,0.953,(0.692–1.312),0.1633,0.7674,S5_mono_ICI
