Variable,Coefficient,AOR,95% CI,SE,P Value,Model
f.sexFemale,0.1735,1.189,(0.675–2.097),0.2893,0.5488,joint_sdoh
f.sexOther,0.1153,1.122,(0.225–5.598),0.82,0.8881,joint_sdoh
f.age18-44,0.4003,1.492,(0.444–5.016),0.6186,0.5176,joint_sdoh
f.age45-54,-1.0178,0.361,(0.111–1.178),0.6027,0.0913,joint_sdoh
f.age65-74,-0.6351,0.53,(0.234–1.201),0.4175,0.1282,joint_sdoh
f.age75+,0.154,1.167,(0.462–2.947),0.4728,0.7446,joint_sdoh
f.raceBlack,0.136,1.146,(0.328–4.000),0.6379,0.8312,joint_sdoh
f.raceAsian,-18.5551,0.0,(0.000–inf),7234.3437,0.9980,joint_sdoh
f.raceHispanic,,,—,0.0,—,joint_sdoh
f.raceAIAN,0.2677,1.307,(0.126–13.580),1.1944,0.8227,joint_sdoh
f.raceNative_Hawaiian_PI,,,—,0.0,—,joint_sdoh
f.raceOther,0.3242,1.383,(0.337–5.681),0.7209,0.6529,joint_sdoh
f.ethnicityHispanic,0.7103,2.035,(0.451–9.179),0.7687,0.3555,joint_sdoh
f.ethnicityUnknown,0.0265,1.027,(0.153–6.876),0.9702,0.9782,joint_sdoh
f.cancerMelanoma,-0.7764,0.46,(0.167–1.268),0.5173,0.1334,joint_sdoh
f.cancerOther,-0.5981,0.55,(0.282–1.072),0.3405,0.0790,joint_sdoh
f.icianti_pdl1,0.3699,1.448,(0.633–3.308),0.4216,0.3803,joint_sdoh
f.icictla4_containing,0.0492,1.05,(0.470–2.349),0.4105,0.9047,joint_sdoh
nci_cci_score,0.0845,1.088,(0.963–1.230),0.0626,0.1768,joint_sdoh
ppi,-0.5466,0.579,(0.290–1.156),0.353,0.1215,joint_sdoh
nsaid,0.3953,1.485,(0.761–2.898),0.3412,0.2467,joint_sdoh
acei_arb,0.1194,1.127,(0.540–2.353),0.3756,0.7505,joint_sdoh
diuretic,0.4714,1.602,(0.764–3.362),0.3781,0.2126,joint_sdoh
f.insuranceMedicare,0.2405,1.272,(0.627–2.579),0.3606,0.5049,joint_sdoh
f.insuranceMedicaid,0.4302,1.538,(0.551–4.291),0.5236,0.4114,joint_sdoh
f.insuranceVA_Military,-18.8499,0.0,(0.000–inf),8409.6128,0.9982,joint_sdoh
f.insuranceUninsured,,,—,0.0,—,joint_sdoh
f.insuranceOther,0.2679,1.307,(0.342–4.998),0.6843,0.6954,joint_sdoh
f.insuranceUnknown,-0.3818,0.683,(0.237–1.970),0.5406,0.4801,joint_sdoh
f.income75k_100k,-0.1375,0.872,(0.329–2.312),0.4977,0.7824,joint_sdoh
f.income50k_75k,1.0134,2.755,(0.980–7.741),0.5271,0.0545,joint_sdoh
f.income25k_50k,-0.2969,0.743,(0.250–2.212),0.5565,0.5937,joint_sdoh
f.income10k_25k,-0.2976,0.743,(0.227–2.428),0.6044,0.6224,joint_sdoh
f.incomelt10k,1.6033,4.969,(0.970–25.470),0.8338,0.0545,joint_sdoh
f.incomeUnknown,-0.2604,0.771,(0.267–2.228),0.5417,0.6307,joint_sdoh
f.educationCollege,0.3111,1.365,(0.558–3.341),0.4567,0.4958,joint_sdoh
f.educationSome_College,-0.2318,0.793,(0.320–1.968),0.4636,0.6171,joint_sdoh
f.educationHS_GED,-0.0476,0.954,(0.339–2.685),0.5281,0.9282,joint_sdoh
f.educationlt_HS,1.1536,3.17,(0.852–11.797),0.6705,0.0853,joint_sdoh
f.educationUnknown,-0.529,0.589,(0.051–6.854),1.2519,0.6726,joint_sdoh
f.employmentSelf_Employed,-0.5965,0.551,(0.125–2.429),0.7572,0.4309,joint_sdoh
f.employmentRetired,-0.7685,0.464,(0.178–1.209),0.4887,0.1159,joint_sdoh
f.employmentUnable_to_Work,-0.4773,0.62,(0.210–1.836),0.5534,0.3884,joint_sdoh
f.employmentUnemployed,-0.5851,0.557,(0.153–2.031),0.6601,0.3754,joint_sdoh
f.employmentStudent,,,—,0.0,—,joint_sdoh
f.employmentHomemaker,-0.4474,0.639,(0.063–6.481),1.1818,0.7050,joint_sdoh
f.employmentOther,,,—,0.0,—,joint_sdoh
f.employmentUnknown,1.7842,5.955,(0.835–42.477),1.0025,0.0751,joint_sdoh
f.housingRent,-0.3464,0.707,(0.331–1.511),0.3873,0.3712,joint_sdoh
f.housingOther_Arrangement,-0.2053,0.814,(0.254–2.614),0.595,0.7301,joint_sdoh
f.housingUnknown,-1.3302,0.264,(0.033–2.087),1.0542,0.2070,joint_sdoh
f.stabilityUnstable,-0.2288,0.796,(0.290–2.180),0.5142,0.6564,joint_sdoh
f.stabilityUnknown,0.4192,1.521,(0.198–11.703),1.0412,0.6872,joint_sdoh
